problem,type
What is the name of the record label that released the vinyl version of the extended play with the same name as recordings by Dying Desolation and Dance Cult by Sevdaliza?,multi-hop
"What was the name of the project at Boston College where the triathlete Rick Hoyt worked, helping to develop systems for people with disabilities?",one-hop
"Which company originally developed the Java software, also known as Qt Jambi, before March 2009?",one-hop
"What was the former administrative designation of the travel destination, which contains the tourist attractions Satakshi Dham Waterfall, Damak Fun Park and Smile Fun Park, before it became a rural municipality?",multi-hop
Which university is Professor Joseph Coupland affiliated with in the film with the same name as the recording by Turin Brakes?,multi-hop
"Identify the people who are the spouses of the female hosts of the TV program Wheel of Fortune, with their marriage starting on 1976-07-04.",multi-hop
Which Native American tribe is responsible for Idaho's state horse?,one-hop
When was the person born who served as the film editor for both The Fall Guy and Deadpool 2?,multi-hop
Find the film with the minimum release date among the films written by Diplo.,multi-hop
"What is the title of the Turkish folk song that the recording by The Spotnicks, ""Uska Dara"", is based on?",one-hop
"What is the nationality of the philosopher, born in 1951, whose main contribution was an immanent critique of G.W.F. Hegel's Phenomenology of Spirit, if another philosopher known for works on Aquinas was born 8 years prior to him, and a third philosopher whose book Powers: A Study in Metaphysics was published posthumously in 2003 was born 9 years before the philosopher known for works on Aquinas?",multi-hop
How many sets of tennis did Tim Henman play by the time he reached the semi-final of the French Open?,multi-hop
What person was responsible for cinematography in the most recent film written by Alain Delon?,multi-hop
"What was the name of the French Resistance member, known by an alias, who was arrested in September 1943 in a French city, and later imprisoned in Auschwitz, a camp from which a Polish officer had escaped five months earlier after documenting its atrocities, while another extermination camp, directed by a former SS commander who was later acquitted in Hamburg, had ceased operations eight months prior?",multi-hop
"What was the name of the individual who completed the watercourse project, whose charter was obtained 372 years after the founding of the priory that was established by Ela, Countess of Salisbury?",multi-hop
Who finished 4th in the 2009 Six Nations tournament.,one-hop
"Which Polish city is the location where the composer of Miserere, op. 44 dedicated their work?",multi-hop
"In which province of Armenia is the town also known as Khanjian, Armenia located?",one-hop
"Which poem uses the word ""I"" more, Lord Byron's ""The Destruction of Sennacherib"" or T.S. Eliot's ""Love Song of J. Alfred Prufrock""?",multi-hop
What is the chemical structure of the synthetic androgen/anabolic steroid known by the alias 2α-methyl-5α-androstan-17β-ol-3-one azine?,one-hop
"In which Swiss canton is the highest mountain in the Samnaun Alps, which is 3294 meters high and had a transmitter located west of the summit from 1972-2011, located?",one-hop
"How old was the founder of the International School of Traditional Aikido, who trained under a direct student of Morihei Ueshiba sent to France, when the Swedish aikido pioneer who was influenced by Sadateru Arikawa, received his 7th dan?",multi-hop
Which noble house was involved in hereditary feuds that affected the location where Gustav von Seyffertitz was born in the late Middle Ages?,multi-hop
What books released on 2016-11-15 were written by the head coach of the basketball team Arkansas Razorbacks men's basketball?,multi-hop
What is the name of the independent press devoted to gay literature that the author of 'Paul's Cat' established in 2010?,one-hop
What is the registered name of the ProRodeo Hall of Fame barrel racing horse with the same nickname as a music album by Lida Husik and a film directed by Ron Weisberg?,multi-hop
How old was the actor who played spencer during the third season of iCarly?,multi-hop
"Which cultural group of the birthplace of Washington Banian is composed of at least 240 different peoples, each with its own language and culture?",multi-hop
"Under which open source license is the server-side, Android app, and iOS client source code available on GitHub for the digital photography sharing and management platform that shut down on March 31, 2015?",multi-hop
"What is the difference in years between the election of the Fellow of the Royal Society of Edinburgh who was also Chief Secretary of Bengal and a noted botanist, and the year of the first successful vaccination in Bombay, considering that another botanist who was born in Calcutta was elected a Fellow of the Royal Society of Edinburgh in 1913?",multi-hop
In which church did the author of Footprints of the Apostles as Traced by Saint Luke in the Acts marry Margret Emma Thompson?,multi-hop
"For the films produced by Mel Brooks and released in 1991-07-26, who were the set decorators?",multi-hop
What was the original name of the station in the same place as the Atlantic City Conference that was later demolished in 1997 and became the Atlantic City Municipal Bus Terminal?,multi-hop
What is the name of the abandoned location where the children in the film with the same name as a creative entity written by Jo Swerling play army?,multi-hop
Which search engine commemorated the lyricist of 'Jukhi Jukhi Si Nazar' with a Doodle on his one hundred and first birth anniversary?,one-hop
Who among the female cast played the character Pompous Woman in the sequel of the film Ace Ventura: Pet Detective?,one-hop
List the films released in 2015-08-19 that were produced by the same person who was the producer of Interstellar and the screenwriter of Oppenheimer.,multi-hop
"What is the name of the British architect who died at the age of 88, and who employed an architect who became Consulting Architect to the Government of India five years after arriving in the country? This employee is buried in the same Edinburgh cemetery as another architect who emigrated to Australia one year before the first architect received a commission in the Artists' Rifles.",multi-hop
"Identify the Italian toy manufacturing company that, after producing HO-scale toy soldiers and a cheaper version of a tabletop football game first available in March 1947, ceased operations in 1984, a year after an American company known for metal miniatures went out of business.",multi-hop
"Which French punk rock and alternative rock group covered the song with the same name as a recording by Old Head on their album ""17 plombs pour péter les tubes"" in 1994?",multi-hop
What is the release date of the latest film directed by Demi Moore?,one-hop
Who are the cinematographers of the films directed by Kevin Spacey that were released in 1996-09-09?,multi-hop
"Identify the bird genus in the Old World flycatcher family whose introducer made a spelling correction that is not recognized by the International Ornithologists' Union. This genus was introduced 34 years after another genus in the same family was introduced by Johann Matthäus Bechstein, and 18 years before a third genus in the family was introduced by Charles Lucien Bonaparte, a genus named after an English natural history dealer.",multi-hop
What was the name of the television show that the person with the same name as the film production designer of 'The Unborn' hosted on the Fox network?,multi-hop
What female actors were cast as Ruth in the films that Mia Goth wrote?,multi-hop
Which film festival awarded the movie written by Ivo Brešan and edited by Boris Erdelji with the Grand Silver prize in 1980?,multi-hop
"Which organization is listed as a partner of the European Office of Crafts, Trades and Small and Medium-sized Enterprises for Standardisation?",one-hop
"What is the name of the historical site, the tomb of a National Hero of Assam, located near a town in Jorhat district that is traversed by National Highway 37, where the old National Highway 37 (now NH 715) also passes through a town in Golaghat district which is additionally traversed by the old National Highway 39 (now NH 129), and this old National Highway 39 also passes through another town in Golaghat district situated at an elevation of 117 meters above MSL?",multi-hop
"For the sports teams that drafted both Dan Marino and Skylar Thompson, identify the persons who had a roster start date of 2011-08-23.",multi-hop
What is the name of the biblical city that was the home of the entity with the same name as the 2008 film or the recording by Xay Hill?,multi-hop
"Regarding the film The SpongeBob SquarePants Movie, who designed the costumes for its subsequent film?",multi-hop
In which territory of the country whose organizational scope includes Tennis Australia was a general election held on 18 June 2005?,multi-hop
In which country is the village which has the unique ID for features cataloged by the United States Geographic Names Information System of 422395 located?,one-hop
Who was the Prime Minister of Canada when Lester B. Pearson's father died?,multi-hop
Which tribe did the Native American chief of the Narragansett lead when the Pilgrims landed at Plymouth?,one-hop
"Which bird species is known to nest on the island also known as 'Eagle Iland', making it the only island in the archipelago to do so?",one-hop
Who directed the casting for the film American Pie?,one-hop
"Who was the QOTSA dude that had the band that was like proper punk, and it had an album on that label from the Faith No More guy?",multi-hop
To which country are species of the classification with NCBI Taxon ID of 90536 endemic?,one-hop
What city hosted the first FIFA World Cup final to be held west of 70 degrees west longitude?,one-hop
