example_id,problem,gold answer
b5df1afadb,"What is the sum of the birth years of the British boxer who defeated Vazik Kazarian at the 1960 Summer Olympics, the Moroccan boxer who also competed in the men's light welterweight event at those same Olympics, and the Danish boxer who competed in both the 1960 and 1964 Summer Olympics?",5821
711072080c,"What was the courtesy name of the Southern Tang official whose two daughters successively became empresses for Emperor Yuanzong's son, if an official who served as chancellor for Emperor Xianzong of Tang was born 488 years after a prominent Jin dynasty regent?",Juntai
301d998cb6,"What is the name of the district that had a population of 90,038 in 2003, and is located in a different country than the main district of Ad Daff and the village of Bahrat al Qadimah?",Arhab District
bbcd571c6d,"Which Sheffield United footballer, who was club captain in the 1930-31 season and later coached Sheffield Wednesday, had a playing career at the club that began after another player made guest appearances during World War I and earned an FA Cup losers medal in 1912, and whose time at the club concluded before a third player made 40 appearances in the season the Blades won promotion to the First Division and also played first-class cricket?",Tommy Sampy
38dfb87ebf,"What is the birth year of the architect who received the Global Award for Sustainable Architecture in 2008, an award founded in 2006, if this architect established their first personal office in the same year that another prominent sustainable architect, known for being one of the first LEED accredited professionals, earned their Bachelor of Science degree?",1948
ab366dacf4,"Which football club, whose manager was sacked in the 1976-77 season, qualified for the European Cup Winners' Cup, and was in a division two tiers above the division Bradford City was promoted to in the same season, and also two tiers above the division Mansfield Town was promoted from in the same season?",Manchester United
6de35416a3,"How many years after the leader of the first organized government to formally declare the Independence of Albania from the Ottoman Empire was killed, did the Democratic Party, which was the ruling party when the opposition Socialist Party left parliament on June 12, 2008, lead major anti-government protests that began on February 18?",72 years
64a896b146,"What was the age of the former Assistant Secretary of the Navy (Financial Management) who was born in Boonton, New Jersey, when the President's Commission on Care for America's Returning Wounded Warriors was established, where the commission was created by the same president who appointed the second Secretary of Homeland Security?",81
63c35f19ab,"Which lighthouse, whose original fourth-order Fresnel lens was found, restored, and relit in 1998 to serve as an active private aid to navigation, was initially decommissioned in 1870, unlike a cast-iron octagonal lighthouse that was automated in 1972 and had its original fourth-order Fresnel lens moved to another Michigan lighthouse, and also unlike a concrete-built lighthouse that was automated in 1973 and had its fourth-order Fresnel lens moved to a museum in Haines?",Mendota (Bete Grise) Light
6a3176f478,"What was the birth year of the Russian official who was dismissed from his post as Governor General of St. Petersburg in October 1905, and whose contemporary, a general, was dismissed for lenient treatment of mutineers in Vladivostok in March 1906, and whose other contemporary, a former Director of Police, accurately predicted the coming social revolution in a letter to Nicholas II that was found after the February Revolution of 1917?",1850
1c49bc30d9,"Identify the radio station that commenced its first regular scheduled FM broadcast in April 1965, and was among the initial stations nationwide to air a program by a religious leader whose content is also broadcast on a South Carolina station that began operating in April 1986 and is affiliated with a network that owns another South Carolina station which first signed on in December 1963.",WJSM
97b92de40a,"Identify the politician who served as Justice Minister in November 1891. This politician's birth year is exactly 47 years after the year a Savoyard nobleman, who died on January 15th, was elected to the British Parliament. Furthermore, the politician's death year is 114 years before the death year of a Norwegian jurist, also known for dying on January 15th, who was director of the Secretariat on Traffic Safety.",Nicolae Blaremberg
3c6beda0cf,"What was the age of the Japanese professional wrestler who secured the IWGP Junior Heavyweight Championship in August 1991, at the time a Puerto Rican wrestler, known as Super Medico III, first captured the WWC Caribbean Tag Team Championship alongside his father?",24 years old
162865c9df,"Identify the American comic book artist who co-created a Marvel Comics miniseries in a year that was 19 years after a Filipino artist was recruited for American comic books, and that recruitment year was 2 years after another Filipino comic book author was born.",Mike Okamoto
850dcac405,"Identify the English actor who lived in a County Cork village where his burial place is located just off the village square, given that this county also contains a town whose racecourse served as an emergency airfield for a Mexican business jet, an event that inspired a 2010 film, and this town is connected by road to a village situated on a regional road that is 28 km long.",Oliver Reed
6f48ed25eb,"What is the name of the Local Level Government (LLG) in Papua New Guinea that is located in the Highlands Region, is home to the Kumai, Gurikunana, and Bari tribes, and whose province is distinct from both the province of the LLG in the Islands Region where the Bali and Vitu languages are spoken, and the province of the LLG in the Momase Region?",Kup Rural LLG
8cdddd28c8,"Who was the actor and writer from the Haggard family whose birth year was one year after an English writer and biographer, and whose birth year was also exactly 200 years after the death of the 3rd Earl of Bolingbroke?",Stephen Hubert Avenel Haggard
57c2ea7211,"Identify the Egyptian football club that signed a player in January 2019 who was named in Egypt's squad for the 2018 FIFA World Cup, and also signed a player in September 2020 who was born in January 1997 and was named the best player in the 2019 Africa U-23 Cup of Nations, where his team won their first title. Both of these players previously played for a club where another player, born in January 1962, achieved an unprecedented record of winning the football league 10 times.",Pyramids FC
fceaffca5d,"Identify the Tamil dubbed title of the Telugu romantic comedy film that was released five years after a 1991 Telugu action crime film, where the protagonist, a police officer, seeks revenge on his father for murdering his mother and framing his grandfather. This romantic comedy film was a box office flop, but its lead actor also starred in a 1992 Telugu drama film that achieved an industry record by being the first to cross 100 days in more than 40 direct centers.",College Galatta
71e531ab1e,"How old was the political scientist who worked at the Santa Monica-based RAND Corporation between 1990 and 1996 when the prominent Shiite opponent of Hezbollah, born in South Lebanon, became a founding member of the Democratic Renewal Movement, given that the Hezbollah official first elected to the Lebanese Parliament in 1992 was 32 years old at the time?",47 years old
ce4d91636d,"What is the name of the elephant character from a 1970s puppet television series whose theme song reached number 14 on the UK charts, given that this series began airing after a children's show that introduced a dog puppet in 1967, and that same dog puppet show premiered before a different children's program introduced a donkey puppet in March 1968?",Edward Trunk
f273b7e5ce,"What is the district of the municipality that has approximately 300 inhabitants, is located about 90 km west of Prague, and is in a different region than both the municipality first mentioned in 1131 and the municipality known by the German name 'Petrowitz'?",Plzeň-North District
af4f7af11f,"What is the genus of planthoppers found in southeast and temperate Asia that includes species first described in the same year that the Italian entomologist, who authored the family of fulgoroid planthoppers whose nymphs are known for having a tail of waxy filaments, passed away?",Thabena
c9359e676c,"Identify the company that acquired a Macintosh programming company, known for its 3D software like Swivel 3D, in the same year that a different 3D scenery generator software released its first Macintosh version, and two years before a UK-based Macintosh computer magazine began being published by Future plc.",MacroMind
f904a5a134,"What is the title of the book published posthumously by the social historian who pioneered family history in North America, if she was born exactly 10 years after the Australian oral history pioneer whose best-known work was published in 1978, and also exactly 10 years after the British food historian whose book on marmalade won the Diagram Prize in 1984?",The Silk Weavers of Kyoto: Family and Work in a Changing traditional Industry
986496f40e,"What is the nationality of the philosopher, born in 1951, whose main contribution was an immanent critique of G.W.F. Hegel's Phenomenology of Spirit, if another philosopher known for works on Aquinas was born 8 years prior to him, and a third philosopher whose book Powers: A Study in Metaphysics was published posthumously in 2003 was born 9 years before the philosopher known for works on Aquinas?",Dutch
59b6d21631,"What is the difference in years between the election of the Fellow of the Royal Society of Edinburgh who was also Chief Secretary of Bengal and a noted botanist, and the year of the first successful vaccination in Bombay, considering that another botanist who was born in Calcutta was elected a Fellow of the Royal Society of Edinburgh in 1913?",25
133d6c638d,"Identify the British politician who began serving on the General Advisory Council of the BBC in the same year that an American politician, who succeeded Donald Rumsfeld in Congress, was first elected, and also in the same year that another British politician, who was a chairman of a local Conservative Association, passed away.",Richard Hornby
7b58eb0d9f,"What is the name of the engineering college, founded in 2004, that was initially affiliated with the university from which the university that Shri Sant Gajanan Maharaj College of Engineering is affiliated with was partitioned?",St. Vincent Pallotti College of Engineering and Technology
4ccb503b0b,"What is the name of the Finnish food and drink company that was established 29 years before another prominent Finnish food company which sold its ice cream business to Nestlé, and whose own acquisition of a meat alternative product company happened two years after an Italian coffee group acquired the Boncafe Group?",Paulig
448d5f6a12,"In a Mexican telenovela, an antagonist who is a wealthy landowner was made sterile by his mother. Identify the patriarch of another Mexican telenovela family, where one of his sons is also a sterile antagonist, and this patriarch began his career in a profession similar to the protagonist of an Argentinian comedy series that was recognized as the 'Comedy of the Year' in 2004.",Everardo Rey
3d0dd63170,"What is the sum of the number of years a Canadian Chief Electoral Officer, who was made an Officer of the Order of Canada in 1990, served in that role; the birth year of a Canadian MP who was elected in 1988 for Beaver River but died before serving in the 34th Canadian Parliament; and the age at death of a French diplomat who was Ambassador to Monaco and died in 2024?",2034
a7e76274e4,"What is the name of the music producer who worked on the debut album of a glam metal band, and also worked with another band that released a song primarily written by a bassist who had left a different heavy metal band before the filming of their music video for the song ""Breaking the Chains""?",Jim Faraci
26bb70e8c4,"What is the length of the river that flows through the same department as Quiberville-sur-Mer, is known for its traditional quality glass industry, and has a commune on its banks that offers rail connections to Le Tréport?",68.1 km
2c1d424a83,"What is the name of the country whose government would have employed the son of the French illustrator who created the futuristic trilogy Le Vingtième Siècle, if not for World War I? This illustrator was born 59 years before a Belgian comics artist who had an instrument he made in 1940 collected by the Musical Instrument Museum of Brussels, and also 59 years before a French novelist who won the Prix Goncourt in 1957.",Thailand
3bd2297e9b,"What is the full title of the fictional book, satirizing artificial intelligence and discussing 'personetics', that is reviewed in a 1971 collection of fictitious criticism by an author whose 1985 novel features the character Ijon Tichy undergoing a callosotomy, and whose 1961 novel describes an apocalyptic event of global paper decomposition?",Non Serviam
8e3d55f0e4,"What was the name of the baseball player who played for the Pittsburgh Alleghenys, and was signed by a Baltimore Orioles team in a year that was exactly 18 years after the Union of Morrisania won its sole premiership title, in a league whose name is similar to, but explicitly distinguished from, a professional baseball league that featured a team from Baltimore, Maryland in 1880?",George Creamer
34353f5f33,"What is the recommended English name for the gilled mushroom that is globally endangered on the IUCN Red List, and is found on the same continent as an inedible earth tongue fungus critically endangered in Denmark, and also a yellow-green moss with crowded, keeled leaves?",Mealy meadowcap
439b3ffed4,"What is the birth year shared by two American poets, one of whom taught in thirty schools and the other was employed by the Treasury Department, if a third American poet, who was a schoolmate of James Abbott McNeill Whistler, was born four years earlier than them?",1839
a7556d4562,"Among the novels 'To Catch a Thief', 'Petulia', and 'Christopher Strong', one had its film adaptation released exactly one year after its publication. Another had its film adaptation released three years after its publication. What was the primary profession of the author whose novel's film adaptation was released two years after its publication?",Dentist
cbcdac074c,"Which city hosted the FIBA Under-19 World Championship where the MVP was from a country that Bosnian athletes previously represented, and which took place in the year prior to the death of a Yugoslav basketball player who set a national team scoring record of 42 points?",Edmonton
7bda3ca278,"What is the name of the present-day Romanian county that roughly corresponds to a historical Székely seat, whose royal judge was a Hungarian historian born in 1676, and which later formed a significant part of an autonomous region for a Hungarian subgroup that was abolished in 1968?",Covasna County
46732f36d7,"What is the full name of the Anglican cleric who was the seventh son of the 5th Duke of Beaufort, a Duke whose other son married the daughter of an Earl whose wife was the sister of the first Pocock Baronet?",Rev. Lord William George Henry Somerset
558dcab922,"A Linux distribution, which has been based on Arch Linux since its 6.0 release and is primarily used for repairing damaged computer systems, supports a bootloader that specializes in booting from FAT filesystems. When creating a bootable USB for this distribution, a specific filesystem is recommended for formatting. This identical filesystem is also recommended for the EFI system partition (ESP) when booting Linux from a GPT disk on a UEFI system. Identify this Linux distribution.",SystemRescue
e504f3059e,"Identify the Italian toy manufacturing company that, after producing HO-scale toy soldiers and a cheaper version of a tabletop football game first available in March 1947, ceased operations in 1984, a year after an American company known for metal miniatures went out of business.",Atlantic (company)
c22cc74b77,"What is the name of the former Greek municipality whose name is derived from a Slavic word meaning 'Good', located in the same country where a mythological figure was the eponym of a region in Thessaly, and where a police motorcycle unit shares its name with the Modern Greek name for Zeus?",Dovras
15d42abc67,"In a nation where the average temperature has increased by 1.8 °C since 1950, and which was listed in a 2010 global assessment as one of 15 acutely vulnerable countries to climate change, what is the name of the province where its first female judge, who was later appointed as a 2015 Women Peacemaker, served?",Parwan Province
ecf12cb65d,"Identify the specific name of the geological feature in Washington state that is a lava flow from a cinder cone, and whose eruption age is older than the lava flow at the Oregon site where NASA astronauts trained for lunar missions, but younger than the lava tube located on the northern flank of Newberry Volcano in Oregon.",Big Lava Bed
4a8904f72a,"What is the name of the organization that launched an American branch in 2022, and was founded six years before a UAE-based foundation that includes the 'Arab Hope Makers' initiative, and eight years before the first edition of an annual awards show held in Dubai?",Takreem
19d36768ee,"Which German apple cultivar, a hybrid of 'Geheimrat Dr. Oldenburg' and 'Cox's Orange Pippin', is the parent of another cultivar that incorporates a genetic component also found in a cold-hardy apple developed in the United States, and whose own parent, 'Cox's Orange Pippin', is a genetic component of a UK-developed apple known for its good disease resistance?",Clivia
024af995fd,"What is the name of the Australian paralympic swimmer who won a gold medal at the 1996 Summer Paralympics, whose birth year is shared by an Australian volleyball player who competed in the 2000 Sydney Olympics, and whose birth year is also 11 years before that of the first Indigenous Australian volleyball player to represent Australia at the Olympics?",Janelle Falzon
9c071d9520,"What is the sum of the ages of a Serbian football manager when he became the youngest manager in Partizan's history, an Argentine attacking midfielder when he signed with Flamengo four days before his 24th birthday, and a Swiss winger when he made his Swiss Super League debut against Grasshopper?",79
c26a020ef3,"What is the result when the combined 2004 census populations of two rural communes in the El Kelâat Es-Sraghna Province – one with 684 households and the other with 4198 households – is subtracted from the 2014 census population of a town in the same province that had 30,315 inhabitants?",-1001
a36119c4a9,"What is the common name of a plant, also in the Myrtaceae family and endemic to Western Australia, that was first described in 1928 and then redescribed in 2009, two years after a genus native to both Australia and New Caledonia was formally established in 2007 by the same taxonomist who transferred a specific eastern Australian Myrtaceae species (originally described in 1997) into that genus?",bush pomegranate
25d03eb822,"Identify the individual who, six years after the Central of Georgia Railway's arrival in Starrsville, acquired a prominent Savannah plantation where he subsequently built a mansion that was completed in the same year that the former president of the Central of Georgia Railway died.",Spencer Proudfoot Shotter
2ae41d99b1,"What is the name of the British architect who died at the age of 88, and who employed an architect who became Consulting Architect to the Government of India five years after arriving in the country? This employee is buried in the same Edinburgh cemetery as another architect who emigrated to Australia one year before the first architect received a commission in the Artists' Rifles.",Robert William Edis
82e5e015ae,"What is the name of the political movement that was created by an individual who was expelled from the French Communist Party exactly 31 years after another politician, who later founded the French Popular Party, was expelled from the same party, and this movement was formed four years before a French politician, whose great-grandfather was deported to Dachau for political convictions, joined the Socialist Party?",Concrete Utopia movement
d3b7268c42,"What was the name of the individual who completed the watercourse project, whose charter was obtained 372 years after the founding of the priory that was established by Ela, Countess of Salisbury?",Sir Hugh Myddelton
b7523247c1,"What is the birth year of the former Ottawa Rough Riders player who won a Grey Cup with the Winnipeg Blue Bombers, if he shares a surname with two defensive linemen who were both associated with the Ottawa Redblacks in 2013, one drafted 18th overall in the CFL Draft and the other selected in the first round of the CFL Expansion Draft?",1941
48ed16f792,"What is the family of the monotypic genus of planthoppers found in the Iberian Peninsula, if its genus was described 25 years before the species of a monotypic butterfly genus endemic to Tibet and West China was described, and this butterfly genus belongs to the same order as a monotypic tiger moth genus found in West Africa and Kenya?",Dictyopharidae
4389ead95d,"What was the birth year of the coach who graduated from the University of Chicago in 1991, if he was born in the same year that a coach, who later became president of Beckley College, turned 70 years old? This latter coach was born 23 years before a coach who was fired from Murray State in January 1960 and later died at the age of 103.",1968
352d264bb5,"What is the name of the Paraguayan football club that shares a nickname with an Argentine club which won its only first division title in 1969, where this Paraguayan club was founded 16 years after another Argentine club whose current stadium was inaugurated two years after that 1969 title win?",Deportivo Recoleta
2f601d4a5c,"What is the name of the song by a Canadian artist that was originally a breakup song but was rewritten to reflect the blossoming relationship of its co-writers, and is described as a piano-driven power ballad, whose country of origin is shared by another artist whose song's musical foundation was adjusted from piano to guitar by its producer, and also by a third artist who requested the incorporation of steel guitar into her song after its co-writer initially decided to use piano instead of guitar?",Let Me Go
d9bbc9b94e,"Which student newspaper, founded 32 years before The Cambridge Student, was relaunched in the same year that a new student organization was officially launched at Macquarie University?",SCAN
7cd0939342,"What is the name of the Masters of the Universe character who was introduced into the toy line in 1984 and possesses the power to spray a sleep mist, but is distinct from the DC Comics villain created by Jack Kirby who was born as a conjoined twin and once defeated Batman in hand-to-hand combat, and also distinct from the G.I. Joe character whose 1982 action figure mold was recolored in Argentina to create a figure named 'Cobra Mortal'?",Kobra Khan
f388851177,"What is the birthplace of the mathematician who co-founded the Austrian Mathematical Society, and whose death occurred one year after a major work by another mathematician born in a city that is now in Poland was posthumously published? This posthumous publication happened during the period when a third mathematician, known for authoring 'A Modern View of Geometry', was a visiting scholar at the Institute for Advanced Study.",Mantua
0715aa8ca1,"What is the name of the private, non-profit organization based in Washington, DC, that has been recognized by the U.S. Department of Education since 1978 for providing national accreditation to non-collegiate vocational institutions, distinguishing it from the regional accrediting agency for California, Hawaii, and the Pacific whose CEO previously served as Deputy Under Secretary for the U.S. Department of Education and was the first female president of Skidmore College, and whose accreditation is essential for its students to qualify for federal financial aid, a benefit explicitly denied to those attending institutions lacking such recognition?",Accrediting Council for Continuing Education and Training (ACCET)
9300ebd3df,"What is the name of the public art piece at the light rail station in Denver that opened exactly 18 years before two Sounder commuter rail stations in Washington state both began service on the same day, one of which features a sculpture whose original design attracted controversy for being phallic?",The Welcoming Committee
de593769a3,What is the sum of the year Ron Garvin was born and the number of years between Andrew Everett's release from Impact Wrestling and the renaming of the TNA World Tag Team Championship to its original name?,1951
d7543d0c0b,"Identify the German gynecologist who, in the same year that the prominent gynecologist he had been an assistant to passed away, was appointed a full professor of OB/GYN, and for whom the year of his former mentor's death was exactly 18 years after the birth of an experimental pathologist who demonstrated hereditary breast carcinoma in mice.",Max Hofmeier
a64760ebf2,"What was the name of the seven-speed gearbox technology that was Renault's first attempt at a seamless shift system, introduced in the car driven by Giancarlo Fisichella during the 2007 Formula One season, a season where pit stop refueling was still permitted, and this same driver had also competed in 1999 with a car whose engine manufacturer was operating under a ban on turbocharged engines that had been in place since 1989?",Instantaneous GearChange (ICG) gearbox
303a334eb8,"Identify the full name of the Danish film director, screenwriter, and producer whose birth year is exactly 24 years after a Danish singer-songwriter and musician, and whose birth year is 60 years after a Danish film producer.",Nicolas Winding Refn
8663a18541,"What is the name of the filmmaker who produced, directed, shot, and edited a documentary film whose soundtrack composer was a Sundance fellow in the year that is four times as many years after the 1996 Sundance Film Festival where a film won the Cinematography Award, as it is before the 2016 Sundance Film Festival where an editor's work had its USA premiere?",Broderick Fox
a2dec84062,"Identify the bird genus in the Old World flycatcher family whose introducer made a spelling correction that is not recognized by the International Ornithologists' Union. This genus was introduced 34 years after another genus in the same family was introduced by Johann Matthäus Bechstein, and 18 years before a third genus in the family was introduced by Charles Lucien Bonaparte, a genus named after an English natural history dealer.",Dessonornis
ed841cd2df,"What is the city where the funeral was held for the rapper whose commercial debut single reached #82 on the Billboard Hot 100, a position 5 spots lower than a single from a 1989 comedy rap album released by a comedian's alter ego, and also 5 spots lower than a single by another rapper whose album debuted at #2 on the Billboard 200?",Atlanta
