example_id,problem,gold answer,classification,reasoning
d9d31ac525,"Identify the Indian Mexican academic, born in Mexico and cousin to Kamala Harris, whose debut book on piracy and personhood in American literature was published 33 years after the first novel by a Mexican author became a U.S. bestseller, and approximately 58 years after the term 'Latino literature' originated during the Chicano Movement.",Sharada Balachandran Orihuela,multi-hop,"The question requires multiple steps of reasoning. It involves identifying an individual who is the cousin of Kamala Harris, connecting their academic work to specific historical events in American literature, and calculating time intervals between the person's debut book, a Mexican author's bestseller, and the origin of 'Latino literature'. These interconnected facts necessitate multi-hop reasoning."
ff7b419dd3,"What was the name of the German U-boat commander who sank a coal freighter in 1917, where this sinking occurred in the same war that saw a US cargo ship, whose captain received the Medal of Honor, sunk by a German submarine, and also saw a British officer achieve the unique feat of sinking a German U-boat with a sailing vessel?",Ernst Hashagen,multi-hop,"The question requires identifying a German U-boat commander linked to multiple specific historical events (sinking a coal freighter in 1917, connection to a Medal of Honor-winning US cargo ship sinking, and a British officer's U-boat sinking feat). This necessitates cross-referencing multiple facts and connections, making it multi-hop."
b5df1afadb,"What is the sum of the birth years of the British boxer who defeated Vazik Kazarian at the 1960 Summer Olympics, the Moroccan boxer who also competed in the men's light welterweight event at those same Olympics, and the Danish boxer who competed in both the 1960 and 1964 Summer Olympics?",5821,multi-hop,"The question requires identifying three different boxers based on specific criteria (victory in a match, nationality, and participation in specific Olympics events), finding their birth years, and summing them. This involves multiple steps of connected information retrieval."
711072080c,"What was the courtesy name of the Southern Tang official whose two daughters successively became empresses for Emperor Yuanzong's son, if an official who served as chancellor for Emperor Xianzong of Tang was born 488 years after a prominent Jin dynasty regent?",Juntai,multi-hop,"The question requires connecting multiple historical figures across different dynasties (Jin, Tang, Southern Tang) and involves conditional reasoning (birth year calculation, empress succession). It demands cross-referencing facts about a Jin regent, a Tang chancellor, and a Southern Tang official's family, making it multi-hop."
301d998cb6,"What is the name of the district that had a population of 90,038 in 2003, and is located in a different country than the main district of Ad Daff and the village of Bahrat al Qadimah?",Arhab District,multi-hop,"The question requires multiple steps: identifying a district by population (90,038 in 2003) and verifying it is in a different country than Ad Daff and Bahrat al Qadimah. This involves connecting demographic data with geographical information and making a comparative analysis."
bbcd571c6d,"Which Sheffield United footballer, who was club captain in the 1930-31 season and later coached Sheffield Wednesday, had a playing career at the club that began after another player made guest appearances during World War I and earned an FA Cup losers medal in 1912, and whose time at the club concluded before a third player made 40 appearances in the season the Blades won promotion to the First Division and also played first-class cricket?",Tommy Sampy,multi-hop,"The question requires identifying a footballer based on multiple interconnected criteria: (1) club captain in 1930-31, (2) coach of Sheffield Wednesday, and (3) overlapping career events tied to two other players' milestones. This necessitates combining sequential events and cross-referencing roles of three players, which involves multi-hop reasoning."
38dfb87ebf,"What is the birth year of the architect who received the Global Award for Sustainable Architecture in 2008, an award founded in 2006, if this architect established their first personal office in the same year that another prominent sustainable architect, known for being one of the first LEED accredited professionals, earned their Bachelor of Science degree?",1948,multi-hop,"The question requires multiple steps to determine the birth year of an architect linked to another architect's milestones. First, identifying the 2008 award winner, then connecting their office establishment year to another architect’s graduation year, and finally retrieving the birth year. This sequence of dependencies necessitates multi-hop reasoning."
ab366dacf4,"Which football club, whose manager was sacked in the 1976-77 season, qualified for the European Cup Winners' Cup, and was in a division two tiers above the division Bradford City was promoted to in the same season, and also two tiers above the division Mansfield Town was promoted from in the same season?",Manchester United,multi-hop,"The question requires multiple steps of reasoning to connect the sacking of a manager in 1976-77, qualification for the European Cup Winners' Cup, and the relationship between the target club's division and the promotion movements of Bradford City and Mansfield Town during the same season. These interconnected facts necessitate multiple hops."
6de35416a3,"How many years after the leader of the first organized government to formally declare the Independence of Albania from the Ottoman Empire was killed, did the Democratic Party, which was the ruling party when the opposition Socialist Party left parliament on June 12, 2008, lead major anti-government protests that began on February 18?",72 years,multi-hop,"The question requires identifying the death year of Albania's independence leader (Isamis Qemali, d. 1919) and the year of anti-government protests led by the Democratic Party (2009 after Socialist Party's 2008 parliamentary exit). This involves multiple steps of historical date correlation and arithmetic calculation, making it a multi-hop question."
64a896b146,"What was the age of the former Assistant Secretary of the Navy (Financial Management) who was born in Boonton, New Jersey, when the President's Commission on Care for America's Returning Wounded Warriors was established, where the commission was created by the same president who appointed the second Secretary of Homeland Security?",81,multi-hop,"The question requires identifying the second Secretary of Homeland Security to determine the president (Bush), then finding the commission's establishment date (April 2007), identifying the Assistant Secretary (Financial Management) from Boonton, NJ, and calculating their age based on birth year. Multiple interconnected facts are needed."
63c35f19ab,"Which lighthouse, whose original fourth-order Fresnel lens was found, restored, and relit in 1998 to serve as an active private aid to navigation, was initially decommissioned in 1870, unlike a cast-iron octagonal lighthouse that was automated in 1972 and had its original fourth-order Fresnel lens moved to another Michigan lighthouse, and also unlike a concrete-built lighthouse that was automated in 1973 and had its fourth-order Fresnel lens moved to a museum in Haines?",Mendota (Bete Grise) Light,multi-hop,"The question requires comparing and connecting information about three different lighthouses with specific historical events and attributes (decommissioning dates, automation years, lens relocation details). It involves multiple steps of reasoning to distinguish the correct lighthouse based on the interplay of these facts."
6a3176f478,"What was the birth year of the Russian official who was dismissed from his post as Governor General of St. Petersburg in October 1905, and whose contemporary, a general, was dismissed for lenient treatment of mutineers in Vladivostok in March 1906, and whose other contemporary, a former Director of Police, accurately predicted the coming social revolution in a letter to Nicholas II that was found after the February Revolution of 1917?",1850,multi-hop,"The question requires connecting multiple entities through their relationships and contextual clues (e.g., contemporaries, dismissal reasons, and historical events) to identify the target individual and their birth year. This involves multi-hop reasoning."
1c49bc30d9,"Identify the radio station that commenced its first regular scheduled FM broadcast in April 1965, and was among the initial stations nationwide to air a program by a religious leader whose content is also broadcast on a South Carolina station that began operating in April 1986 and is affiliated with a network that owns another South Carolina station which first signed on in December 1963.",WJSM,multi-hop,"The question requires multiple steps of reasoning, connecting different radio stations, their operational dates, affiliations, and network ownership across distinct timelines. Identifying the original station necessitates tracing a chain of relationships involving a religious program, a 1986 South Carolina station, and a network-affiliated station from 1963, making it multi-hop."
97b92de40a,"Identify the politician who served as Justice Minister in November 1891. This politician's birth year is exactly 47 years after the year a Savoyard nobleman, who died on January 15th, was elected to the British Parliament. Furthermore, the politician's death year is 114 years before the death year of a Norwegian jurist, also known for dying on January 15th, who was director of the Secretariat on Traffic Safety.",Nicolae Blaremberg,multi-hop,The question requires identifying a politician through multiple linked facts: 1) Their birth year is tied to the election year of a Savoyard nobleman who died on January 15th. 2) Their death year is tied to the death year of a Norwegian jurist who died on January 15th. 3) The politician held a specific role in 1891. Solving this requires connecting disparate entities and dates via multi-step reasoning.
3c6beda0cf,"What was the age of the Japanese professional wrestler who secured the IWGP Junior Heavyweight Championship in August 1991, at the time a Puerto Rican wrestler, known as Super Medico III, first captured the WWC Caribbean Tag Team Championship alongside his father?",24 years old,multi-hop,The question requires connecting two distinct pieces of information: the Japanese wrestler's birth year and the timing of Super Medico III's championship win in August 1991. Calculating the wrestler's age at that specific time involves multiple steps and cross-referencing separate facts.
162865c9df,"Identify the American comic book artist who co-created a Marvel Comics miniseries in a year that was 19 years after a Filipino artist was recruited for American comic books, and that recruitment year was 2 years after another Filipino comic book author was born.",Mike Okamoto,multi-hop,"The question requires multiple steps: determining the recruitment year of a Filipino artist (based on another's birth year), calculating the Marvel miniseries year (19 years later), and identifying the artist for that year. Each step depends on prior information, necessitating multi-hop reasoning."
850dcac405,"Identify the English actor who lived in a County Cork village where his burial place is located just off the village square, given that this county also contains a town whose racecourse served as an emergency airfield for a Mexican business jet, an event that inspired a 2010 film, and this town is connected by road to a village situated on a regional road that is 28 km long.",Oliver Reed,multi-hop,"The question requires multiple steps: 1) Identify the town in County Cork with a racecourse that served as an emergency airfield (inspiring a 2010 film), 2) Connect this town to a village via a 28km road, 3) Find the English actor buried in the village square. Each step depends on distinct facts requiring separate reasoning."
6f48ed25eb,"What is the name of the Local Level Government (LLG) in Papua New Guinea that is located in the Highlands Region, is home to the Kumai, Gurikunana, and Bari tribes, and whose province is distinct from both the province of the LLG in the Islands Region where the Bali and Vitu languages are spoken, and the province of the LLG in the Momase Region?",Kup Rural LLG,multi-hop,"The question requires multiple steps: identifying an LLG in the Highlands Region with specific tribes, then ensuring its province differs from distinct provinces in other regions (Islands and Momase). This involves cross-referencing multiple attributes and regions, necessitating multi-hop reasoning."
8cdddd28c8,"Who was the actor and writer from the Haggard family whose birth year was one year after an English writer and biographer, and whose birth year was also exactly 200 years after the death of the 3rd Earl of Bolingbroke?",Stephen Hubert Avenel Haggard,multi-hop,"The question requires multiple steps to determine the answer. It involves identifying the birth year by cross-referencing two separate conditions: 1) being one year after an English writer's birth and 2) being 200 years after the death of the 3rd Earl of Bolingbroke. Additionally, it requires locating an individual from the Haggard family who matches this calculated year, necessitating multi-source reasoning."
57c2ea7211,"Identify the Egyptian football club that signed a player in January 2019 who was named in Egypt's squad for the 2018 FIFA World Cup, and also signed a player in September 2020 who was born in January 1997 and was named the best player in the 2019 Africa U-23 Cup of Nations, where his team won their first title. Both of these players previously played for a club where another player, born in January 1962, achieved an unprecedented record of winning the football league 10 times.",Pyramids FC,multi-hop,"The question requires connecting multiple pieces of information across different time periods and relationships (e.g., linking players to clubs, their achievements, and birth dates). It involves at least three distinct hops: identifying the 2019 signing, verifying the 2020 player's history and tournament, and cross-referencing with a prior club's record. This layered reasoning exceeds a single fact lookup."
fceaffca5d,"Identify the Tamil dubbed title of the Telugu romantic comedy film that was released five years after a 1991 Telugu action crime film, where the protagonist, a police officer, seeks revenge on his father for murdering his mother and framing his grandfather. This romantic comedy film was a box office flop, but its lead actor also starred in a 1992 Telugu drama film that achieved an industry record by being the first to cross 100 days in more than 40 direct centers.",College Galatta,multi-hop,"The question requires multiple steps: identifying the 1991 film, connecting it to the romantic comedy released 5 years later, verifying the lead actor's 1992 film success, and finally finding the Tamil dubbed title. Each step depends on prior information retrieval."
71e531ab1e,"How old was the political scientist who worked at the Santa Monica-based RAND Corporation between 1990 and 1996 when the prominent Shiite opponent of Hezbollah, born in South Lebanon, became a founding member of the Democratic Renewal Movement, given that the Hezbollah official first elected to the Lebanese Parliament in 1992 was 32 years old at the time?",47 years old,multi-hop,"The question requires connecting multiple entities (political scientist at RAND, Shiite opponent of Hezbollah, Hezbollah official), time periods, and age calculations. It involves several steps of reasoning and linking information across different contexts."
ce4d91636d,"What is the name of the elephant character from a 1970s puppet television series whose theme song reached number 14 on the UK charts, given that this series began airing after a children's show that introduced a dog puppet in 1967, and that same dog puppet show premiered before a different children's program introduced a donkey puppet in March 1968?",Edward Trunk,multi-hop,"The question requires multiple steps of reasoning, connecting information about the timeline of puppet shows (dog puppet in 1967, donkey puppet in 1968, elephant character in 1970s), as well as the chart performance of the series' theme song. Answering it requires linking disparate facts from different sources and sequences."
f273b7e5ce,"What is the district of the municipality that has approximately 300 inhabitants, is located about 90 km west of Prague, and is in a different region than both the municipality first mentioned in 1131 and the municipality known by the German name 'Petrowitz'?",Plzeň-North District,multi-hop,"The question requires multiple steps: identifying a municipality with specific characteristics, translating a historical German name to its native language, determining regions of two other municipalities, and comparing regions to ensure the target municipality is in a different one. Each step depends on prior information."
